ID,Title,Developer,Publisher,Platform,Genre,ReleaseDate,Rating,CleanRDate
b18,12 is Better Than 6,Ink Stains Games,Pinkapp Games,PC,Top-Down|Shooter,20 November 2015,5.9,
b19,140,Jeppe Carlsen,,Linux|Mac|PC,Music/Rhythm|Platform,16 October 2013,7.4,
b20,15 Days,House of Tales Entertainment,Lace Mamba Global|dtp entertainment,PC,Adventure|Role-Playing,,5.6,
b21,1849,SomaSim,SomaSim,PC,Simulation,08 May 2014,6.3,
b22,1941: Counter Attack,Capcom,Capcom,Arcade|PlayStation 2,Scrolling|Shooter,February 1992,6.9,
b23,1942,Capcom,Capcom,Arcade|NES,,December 1984,6.2,
b24,1942: Joint Strike,Backbone Entertainment,Capcom,PlayStation 3|Xbox 360,Vertical scrolling shooter,23 July 2008,6.6,
b25,1943: The Battle of Midway,Capcom,Capcom,NES,Top-Down|Scrolling|Arcade,June 1987,5.6,
b26,1953 - KGB Unleashed,United Independent Entertainment,,PC,First-Person|Adventure,20 September 2013,5.2,
b27,1954: Alcatraz,Daedalic Entertainment|Irresponsible Games,Daedalic Entertainment,PC,Point-and-Click|Adventure,11 March 2014,6.7,
b28,1979 Revolution: Black Friday,iNK Stories|N-Fusion Interactive,iNK Stories,Android|PC,Adventure,04 April 2016,7.5,
b29,1993 Space Machine,Modesty,Modesty,PC,Scrolling|Shooter,28 March 2016,7.3,
b30,199X,,,PC,Adventure,2015,8.0,
b31,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),Dejobaan Games,Dejobaan Games,PC,Music,01 April 2011,5.6,
b32,1 Moment of Time: Silentville,2 Monkeys,Jetdogs Studios,PC,Adventure|Hidden Object,21 July 2016,5.0,
b33,2006 FIFA World Cup,EA Canada,EA Sports,PC|PSP|Xbox 360,Sports,24 April 2006,6.6,
b34,200% Mixed Juice!,Orange_Juice,Fruitbat Factory,PC,Turn-Based|Role-Playing,23 October 2015,5.5,
b35,2010 FIFA World Cup South Africa,EA Canada|HB Studios,EA Sports,PlayStation 3|Wii|Xbox 360,Sports,27 April 2010,7.2,
b36,2014 FIFA World Cup Brazil,EA Canada,EA Sports,PlayStation 3|Xbox 360,Sports,15 April 2014,7.1,
b37,2048,Gabriele Cirulli,,Android|Browser|iOS|Nintendo 3DS|PC,Puzzle,March 2014,6.5,
b38,2064: Read Only Memories,MidBoss,MidBoss,Mac|PC|PlayStation 4|PlayStation Vita,Adventure,06 October 2015,7.1,
b39,20XX,Batterystaple Games,Batterystaple Games,PC,Action,25 November 2014,8.3,
b40,24: The Game,SCE Studio Cambridge,2K Games|Sony Computer Entertainment,PlayStation 2,Third-person shooter,27 February 2006,6.3,
b41,25 To Life,Avalanche Software|Ritual Entertainment,Eidos Interactive,PC|PlayStation 2,Third-person shooter,17 January 2006,5.3,
b42,2Xtreme,Sony Interactive Studios America,SCEA,PlayStation,Racing|Sports,31 October 1996,4.0,
b43,3089,,,PC,First-Person|Action|Open World|Role-Playing|Shooter,2013,7.7,
b44,3D Classics: Excitebike,Nintendo,Nintendo,Nintendo 3DS,Racing,06 June 2011,6.3,
b45,3D Classics: Kid Icarus,Nintendo,Nintendo,Nintendo 3DS,Action|Platform,23 March 2012,7.1,
b46,3D Dot Game Heroes,Silicon Studio,Atlus,PlayStation 3,Action|Adventure,11 May 2010,7.7,
b47,3D Gunstar Heroes,Sega,Sega,Nintendo 3DS,Action|Adventure,20 August 2015,8.0,
b48,3 Stars of Destiny,Aldorlea Games,Degica,PC,Adventure|Role-Playing,23 February 2009,5.0,
b49,3 on 3 NHL Arcade,EA Canada,EA Sports,PlayStation 3|Xbox 360,Sports,11 February 2009,6.9,
b50,404Sight,Retro Yeti Games,Retro Yeti Games,PC,Action,,6.3,
b51,4PM,Bojan Brbora,4PM GAME,PC,First-Person|Adventure,09 July 2014,3.9,
b52,4 Elements,Playrix Entertainment,Playrix Entertainment,Nintendo DS|PC,Adventure|Puzzle,03 September 2008,6.2,
b53,50 Cent: Blood on the Sand,Swordfish Studios,THQ,PlayStation 2|PlayStation 3|Xbox 360,Third-Person|Shooter,24 February 2009,6.7,
b54,50 Cent: Bulletproof,Genuine Games|Interscope|High Voltage Software,Sierra Entertainment|Vivendi Games,PlayStation 2|PSP|Xbox,Action,17 November 2005,4.9,
b55,5 Days a Stranger,"Ben ""Yahtzee"" Croshaw","Ben ""Yahtzee"" Croshaw",PC,Adventure,29 September 2003,7.4,
b56,60 Seconds!,Robot Gentleman Studios,Robot Gentleman Studios,PC,Simulation|Survival,25 May 2015,7.0,
b57,6180 the moon,Turtle Cream|PokPoong Games,,Mac|PC|Xbox One,Platform,19 September 2014,7.5,
b58,6 Days a Sacrifice,"Ben ""Yahtzee"" Croshaw","Ben ""Yahtzee"" Croshaw",PC,Adventure,25 January 2007,9.0,
b59,7 Days a Skeptic,"Ben ""Yahtzee"" Croshaw","Ben ""Yahtzee"" Croshaw",PC,Adventure,27 July 2004,8.0,
b60,7 Days to Die,The Fun Pimps,The Fun Pimps,PC|PlayStation 4,First-Person|Action|Adventure,13 December 2013,6.0,
b61,7 Grand Steps Step 1: What Ancients Begat,Mousechief,Mousechief,PC,Simulation|Strategy,07 June 2013,4.0,
b62,7 Wonders: Ancient Alien Makeover,MumboJumbo,MumboJumbo,PC,Puzzle,,6.6,
b63,7 Wonders II,MumboJumbo,MumboJumbo,PC,Puzzle,10 June 2008,5.6,
b64,7 Wonders: Treasures of Seven,MumboJumbo,MumboJumbo,PC,Puzzle,24 October 2008,6.1,
b65,7 Wonders of the Ancient World,Hot Lava Games,MumboJumbo,PC|PSP,Puzzle,02 February 2007,5.9,
b66,7th Dragon 2020,Sega AM1|imageepoch,Sega,PSP,Role-Playing,,8.6,
b67,7th Dragon III Code: VFD,imageepoch,Sega,Nintendo 3DS,Role-Playing,12 July 2016,8.2,
b68,80 Days,Inkle,Inkle,Android|iOS|Mac|PC,Adventure|Visual Novel,31 July 2014,7.8,
b69,8BitBoy,AwesomeBlade,AwesomeBlade,PC,Platform,06 May 2014,5.3,
b70,8-Bit Bayonetta,PlatinumGames|Bitbaboon,Sega,PC,Action,31 March 2017,5.9,
b71,8-Bit Commando,2DEngine,,PC,Action|Platform|Shooter,09 July 2011,6.4,
b72,9.03m,Space Budgie,Space Budgie,PC,Interactive Art,12 September 2013,6.4,
b73,911 Operator,Jutsu Games,PlayWay,PC,Simulation|Strategy,2017,6.0,
b74,999: Nine Hours Nine Persons Nine Doors,Chunsoft,Aksys Games,Emulated|iOS|Nintendo 2DS|Nintendo 3DS|Nintendo DS|PC|PlayStation 4,Visual Novel,16 November 2010,8.7,
b75,99 Levels to Hell,ZaxisGames,,PC,Action|Platform|Shooter,26 February 2013,5.7,
b76,9 Clues 2: The Ward,Tap It Games,Artifex Mundi,Linux|PC,Hidden Object,23 July 2015,6.7,
b77,9 Clues: The Secret of Serpent Creek,,G5 Entertainment,Linux|PC,Adventure,16 January 2014,6.3,
b78,AC/DC Live: Rock Band Track Pack,Harmonix Music Systems|Pi Studios,MTV Games,PlayStation 2|PlayStation 3|Xbox 360,Music,02 November 2008,6.9,
b79,ACE Academy,PixelFade Studio,PixelFade Studio,PC,Role-Playing,03 September 2015,8.7,
b80,AI War: Fleet Command,Arcen Games,Arcen Games,PC,Real-time strategy,02 June 2009,6.8,
b81,AM2R: Return of Samus,DoctorM64,,Mac|PC,Action|Adventure|Platform,06 August 2016,8.5,
b82,APB: Reloaded,Realtime Worlds|Reloaded Productions,Realtime Worlds|K2 Network,PC,Third-Person|Massively Multiplayer|Action|Role-Playing,29 June 2010,6.1,
b83,A.R.E.S.: Extinction Agenda,Extend Studio,ORiGO GAMES,PC,Action|Shooter,19 January 2011,5.7,
b84,AR-K,Gato Salvaje,Gato Salvaje,PC,Point-and-Click|Adventure,21 July 2014,4.6,
b85,AR-K: Episode 1 - Sex Lies and Class Work,Gato Salvaje,Gato Salvaje,PC,Point-and-Click|Third-Person|Adventure,2013,6.0,
b86,AR-K: Episode 3 - The Great Escape,Gato Salvaje,Gato Salvaje S.L.,PC,Point-and-Click|Adventure,14 July 2015,7.0,
b87,ARK: Survival Evolved,Studio Wildcard|Instinct Games|Efecto Studios|Virtual Basement,Studio Wildcard,PC|PlayStation 4,First-Person|Action|Adventure,02 June 2015,6.5,
b88,ARMA 3,Bohemia Interactive,Bohemia Interactive,PC,First-Person|Shooter|Tactical,12 September 2013,7.7,
b89,ARMA: Armed Assault,Bohemia Interactive Studio,505 Games|Atari,PC,Tactical Shooter,04 May 2007,5.5,
b90,ARMA: Gold Edition,Bohemia Interactive,Bohemia Interactive,PC,First-Person|Shooter,13 July 2011,7.0,
b91,ARMA II,Bohemia Interactive Studio,505 Games|Meridian 4,PC,First-Person|Shooter|Simulation,07 July 2009,7.2,
b92,ARMA II: Operation Arrowhead,Bohemia Interactive Studio,505 Games|Meridian 4,PC,,29 June 2010,7.9,
b93,ATV Offroad Fury,Rainbow Studios,Sony Computer Entertainment,PlayStation 2,Racing,05 February 2001,7.4,
b94,AVSEQ,Big Robot,Big Robot,PC,Music/Rhythm,23 August 2012,4.7,
b95,A Bird Story,Freebird Games,Freebird Games,Linux|Mac|PC,Adventure,07 November 2014,6.7,
b96,A Boy and His Blob,WayForward Technologies,Majesco Games,PC|PlayStation 4|Wii,Platform|Puzzle,13 October 2009,7.5,
b97,A Boy and His Blob: Trouble on Blobolonia,Imagineering,Absolute Entertainment|Jaleco|Majesco,NES,Platform|Puzzle,January 1990,6.3,
b98,A Bug's Life,Traveller's Tales,Disney Interactive,Nintendo 64|PC|PlayStation,Platform,18 November 1998,6.8,
b99,A City Sleeps,Harmonix Music Systems,Harmonix Music Systems,PC,Scrolling|Music/Rhythm,16 October 2014,6.5,
b100,A Dark Room,Double Speak Games,,Android|Browser|iOS|PC,Adventure,,7.7,
b101,A Date in the Park,Cloak and Dagger Games,,PC,Point-and-Click|Third-Person|Adventure,26 November 2014,6.6,
b102,A Game of Thrones: Genesis,Cyanide,Focus Home Interactive,PC,Strategy,29 September 2011,6.3,
b103,A Golden Wake,Grundislav Games,Wadjet Eye Games,Mac|PC,Point-and-Click|Adventure,09 October 2014,6.6,
b104,A Good Snowman is Hard to Build,Alan Hazelden|Benjamin Davis,Draknek,Android|PC,Puzzle,25 February 2015,8.6,
b105,A Hat in Time,Gears for Breakfast,,PC|PlayStation 4,Adventure|Platform,2014,8.7,
b106,A Kingdom for Keflings,NinjaBee,Microsoft Game Studios,PC|Xbox 360,Simulation,19 November 2008,6.8,
b107,A King's Tale: Final Fantasy XV,Square Enix,Square Enix,PlayStation 4|Xbox One,Side|Scrolling|Action,29 November 2016,6.5,
b108,A Kiss for the Petals: Remembering How We Met,St. Michael's Girls School,MangaGamer,PC,Visual Novel,25 September 2015,5.0,
b109,A New Beginning,Daedalic Entertainment,Daedalic|Lace Mamba,Mac|PC,Point-and-Click|Adventure,20 May 2011,6.6,
b110,A Normal Lost Phone,Plug In Digital,Playdius|Plug In Digital,Android|iOS|Linux|Mobile|Nintendo Switch|PC,Adventure,26 January 2017,6.9,
b111,A Story About My Uncle,Gone North Games,Coffee Stain Studios,PC,First-Person|Adventure|Platform,28 May 2014,6.9,
b112,A Valley Without Wind,Arcen Games,Arcen Games,PC,Strategy|Adventure|Role-Playing,23 April 2012,6.8,
b113,A Valley Without Wind 2,Arcen Games,Arcen Games,PC,Action|Adventure|Strategy,18 February 2013,6.5,
b114,A Vampyre Story,Autumn Moon Entertainment,Crimson Cow|The Adventure Company,PC,Adventure,02 December 2008,6.7,
b115,A Virus Named Tom,Misfits Attic,Misfits Attic,PC|PlayStation Vita,Action|Puzzle,01 August 2012,6.0,
b116,A Walk in the Dark,Flying Turtle Software,,PC,Platform,,6.6,
b117,A Wild Catgirl Appears!,NewWestGames,NewWestGames,PC,Visual Novel,05 January 2016,10.0,
b118,A Wizard's Lizard,Lost Decade Games,,PC,Action|Roguelike|Role-Playing,16 June 2014,6.5,
b119,A Wolf in Autumn,David Szymanski,David Szymanski,PC,Adventure|Survival Horror,27 October 2015,7.0,
b120,A World of Keflings,NinjaBee,Microsoft Studios,PC|Xbox 360,Simulation,22 December 2010,6.7,
b121,AaAaAA!!! - A Reckless Disregard for Gravity,Dejobaan Games,,PC,First-Person|Simulation,03 September 2009,6.5,
b122,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,Dejobaan Games,Dejobaan Games,Android|PC,First-Person|Action,24 November 2011,5.4,
b123,Aabs Animal,Aabs,Aabs,PlayStation 3|PlayStation Vita,Simulation,09 July 2013,1.0,
b124,Aarklash: Legacy,Cyanide Studio,Cyanide Studio,PC,Adventure|Strategy,12 September 2013,7.1,
b125,Aaru's Awakening,Lumenox Games,Lumenox Games,PC|PlayStation 3|PlayStation 4,Action|Platform,23 February 2015,6.2,
b126,Abadox: The Deadly Inner War,Natsume,Natsume|Milton Bradley,NES,Shoot 'em up,March 1990,6.0,
b127,Abandoned,Krutovig,Krutovig,PC,Point-and-Click|Adventure,22 July 2015,5.5,
b128,Abobo's Big Adventure,I-Mockery,,Browser|PC,Action|Adventure,11 January 2012,8.1,
b129,About Love Hate and the other ones,Black Pants Studio,Black Pants Studio,PC,Point-and-Click|Puzzle,12 December 2014,6.4,
b130,Absconding Zatwor,Zonitron Productions,GrabTheGames,PC,Action|Puzzle,06 July 2015,4.3,
b131,Absent,FNGames,FNGames,PC,Point-and-Click|Adventure,03 October 2013,7.0,
b132,Absolute Drift,Funselektor Labs,Funselektor Labs,PC|PlayStation 4,Racing,29 July 2015,7.0,
b133,Absolver,Sloclap,Devolver Digital,PC|PlayStation 4,Massively Multiplayer|Role-Playing,29 August 2017,6.5,
b134,Abyss Odyssey,ACE Team,ATLUS,PC|PlayStation 3|Xbox 360,Third-Person|Multidirectional|Action|Adventure|Roguelike,15 July 2014,6.8,
b135,Abyss: The Wraiths of Eden,Artifex Mundi,Artifex Mundi,Linux|PC,Point-and-Click|Adventure|Hidden Object|Puzzle,29 October 2012,6.9,
b136,Acceleration of Suguri X Edition,Rockin' Android,Sony Computer Entertainment,PC|PlayStation 3,Fighting,2012,5.0,
b137,Access Denied,Stately Snail,Stately Snail,PC,Puzzle,16 December 2016,5.5,
b138,Accounting (2016),Crows Crows Crows|Squanchtendo,Crows Crows Crows,HTC Vive|PC,Virtual Reality|Adventure,18 October 2016,6.9,
b139,Ace Attorney Investigations: Miles Edgeworth,Capcom,Capcom,Emulated|Nintendo 3DS|Nintendo DS,Adventure,16 February 2010,7.8,
b140,Ace Combat 04: Shattered Skies,Project Aces,Namco,PlayStation 2,Arcade|Flight Combat|Simulation,23 October 2001,8.3,
b141,Ace Combat 2,Namco,Namco,PlayStation,Arcade|Combat Flight Simulator,,8.2,
b142,Ace Combat 3: Electrosphere,Namco,NA/JP: Namco|EU: SCEE,PlayStation,Arcade|Combat Flight Simulator,20 March 2000,7.8,
b143,Ace Combat 5: The Unsung War,Project Aces,JP/NA: Namco|EU: SCEE,PlayStation 2,Arcade|Flight Combat,25 October 2004,8.4,
b144,Ace Combat 6: Fires of Liberation,Project Aces,Namco Bandai Games,Xbox 360,Arcade|Combat Flight Simulator,23 October 2007,7.0,
b145,Ace Combat: Assault Horizon,Project Aces,Namco Bandai Games,PC|PlayStation 3|Xbox 360,Arcade|Combat Flight Simulator,11 October 2011,6.8,
b146,Ace Combat: Assault Horizon Legacy,Project Aces,Namco Bandai Games,Nintendo 3DS,Action,15 November 2011,7.6,
b147,Ace Combat: Assault Horizon - Enhanced Edition,Namco,Namco Bandai Games,PC,Action|Flight Combat|Simulation,24 January 2013,6.3,
b148,Ace Combat: Joint Assault,Access Games,Namco Bandai Games,PSP,Arcade|Combat Flight Simulator,31 August 2010,6.2,
b149,Ace Combat X: Skies of Deception,Access Games,Namco|Sony Computer Entertainment Europe (Europe only),PSP,Arcade|Combat Flight Simulator,24 October 2006,7.3,
b150,Ace Combat Zero: The Belkan War,Project Aces,Namco Bandai,PlayStation 2,Arcade,25 April 2006,8.3,
b151,Ace Ventura: The CD-Rom Game,7th Level,Bomico Entertainment Software,PC,Third-Person|Adventure,31 October 1996,7.5,
b152,Ace of Spades,Jagex Games Studio,Jagex Games Studio,PC,First-Person|Sandbox|Shooter,12 December 2012,5.8,
b153,Ace of Words,ZeroBit Games,Ocean Media,PC,Puzzle,30 September 2015,5.0,
b154,Aces Wild: Manic Brawling Action!,Culture Attack Studio,Culture Attack Studio,PC,Action,08 August 2013,7.0,
b155,Achievement Unlocked,,,Browser|PC,Platform,,6.6,
b156,Achievement Unlocked 2,John Cooney,,Browser|PC,Platform,,6.8,
b157,ActRaiser,Quintet,Enix|Square Enix,Super Nintendo|Wii,Action|City-Building|Simulation,November 1991,8.0,
b158,ActRaiser 2,Quintet,EU: Ubisoft|JP/NA: Enix,Super Nintendo,Platform,November 1993,7.3,
b159,Act of War: Direct Action,Eugen Systems,Atari,PC,Real-Time|Strategy,15 March 2005,7.3,
b160,Action Henk,RageSquid,RageSquid,PC|PlayStation 4,Action|Platform|Racing,11 May 2015,6.6,
b161,Actual Sunlight,Will O'Neill,Will O'Neill,PC|PlayStation Vita,Adventure,03 April 2014,6.3,
b162,AdVenture Capitalist,Hyper Hippo Productions,Hyper Hippo Productions,Android|iOS|PC|PlayStation 4,Simulation,30 March 2015,6.0,
b163,AdVenture Communist,Hyper Hippo Games,Hyper Hippo Games,PC,Simulation,10 August 2016,5.0,
b164,Adam Wolfe,Mad Head Games,Mad Head Games,PC,Adventure|Hidden Object,07 October 2016,8.0,
b165,Adam's Venture Chronicles,Vertigo Games,SOEDESCO Publishing,PC|PlayStation 3,Adventure,03 August 2015,5.4,
b166,Adam's Venture: Origins,Vertigo Games,SOEDESCO Publishing,PC|PlayStation 4,Adventure,01 April 2016,4.0,
b167,Adam's Venture - Episode 1: The Search for the Lost Garden,Vertigo Digital Entertainment,Iceberg Interactive,PC,Adventure,2009,5.7,
b168,Adam's Venture - Episode 2: Solomon's Secret,Vertigo Digital Entertainment,Iceberg Interactive,PC|PlayStation 3,Adventure,January 2010,5.6,
b169,Adam's Venture - Episode 3: Revelations,Vertigo Games,Iceberg Interactive,PC|PlayStation 3,Adventure,09 March 2012,6.0,
b170,Adrift,Three One Zero,505 Games,PC|PlayStation 4,Adventure,28 March 2016,6.2,
b171,Advance Wars,Intelligent Systems,Nintendo,Emulated|Game Boy Advance|Wii U,Turn-based tactics,10 September 2001,8.2,
b172,Advance Wars 2: Black Hole Rising,Intelligent Systems,Nintendo,Game Boy Advance|Wii U,Turn-based tactics,23 June 2003,8.3,
b173,Advance Wars: Days of Ruin,Intelligent Systems,Nintendo,Nintendo DS,Turn-Based|Tactical,21 January 2008,7.8,
b174,Advance Wars: Dual Strike,Intelligent Systems,Nintendo,Nintendo 3DS|Nintendo DS,Turn-Based|Tactical,22 August 2005,8.1,
b175,Advent Rising,GlyphX Games|Demiurge Studios,Majesco,PC|Xbox,Third-person|action-adventure,31 May 2005,7.3,
b176,Adventure (1979),Atari,Atari,Atari 2600,Action|Adventure,1979,6.6,
b177,Adventure Island,Hudson Soft,Hudson Soft,Game Boy|NES,Platform,September 1988,6.5,
b178,Adventure Island II,Hudson Soft,Hudson Soft,Game Boy|NES,Platform,February 1991,8.2,
b179,Adventure Time: Finn & Jake Investigations,Vicious Cycle Software,Little Orbit,PC|PlayStation 3|PlayStation 4|Xbox One,Third-Person|Adventure,20 October 2015,6.9,
b180,Adventure Time: Finn and Jake's Epic Quest,NGD Studios,Cartoon Network Games,PC,Action|Adventure,11 April 2014,5.3,
b181,Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!,WayForward Technologies,D3 Publisher,Nintendo 3DS|Nintendo DS,Adventure,20 November 2012,6.8,
b182,Adventures Of Pip,TicToc Games,TicToc Games,PC|PlayStation 4|Wii U|Xbox One,Adventure|Platform,04 June 2015,6.5,
b183,Adventures in the Magic Kingdom,Capcom,Capcom,NES,Action,June 1990,6.1,
b184,Adventures of Bertram Fiddle: Episode 1 - A Dreadly Business,Rumpus,Deck13 Interactive,PC,Point-and-Click|Adventure,02 April 2015,8.3,
b185,Adventures of Lolo,HAL Laboratory,HAL America,NES|Wii|Wii U,Puzzle|Action,20 April 1989,7.7,
b186,Adventures of Lolo 2,HAL Laboratory,HAL Laboratory,NES,Puzzle,20 April 1990,8.0,
b187,Adventures of Mana,Square-Enix,Square-Enix,Android|iOS|PlayStation Vita,Top-Down|Action|Role-Playing,04 February 2016,7.9,
b188,Aegis Wing,Microsoft/Carbonated Games,Microsoft Game Studios,Xbox 360,Side-scroller|Shoot 'em up,16 May 2007,5.6,
b189,Aeon Command,Bat Country Games,Bat Country Games,PC,Strategy,03 July 2014,7.3,
b190,Aero Fighters,Video System,,Arcade|Super Nintendo,Shooter,1992,6.6,
b191,Aero Fighters 2,Video System,Video System,Arcade|Neo Geo,Shooter,1994,7.8,
b192,Aero the Acro-Bat,Iguana Entertainment|Atomic Planet,Sunsoft|Metro 3D/Zoo Digital,Sega Mega Drive/Genesis|Super Nintendo,Platform,October 1993,6.0,
b193,Aether,Edmund McMillen|Tyler Glaiel,Edmund McMillen,PC,Adventure,,5.3,
b194,Affordable Space Adventures,KnapNok Games,Nifflas' Games,Wii U,Puzzle|Stealth,09 August 2015,7.6,
b195,Afrika,Rhino Studios,Natsume,PlayStation 3,Simulation,06 October 2009,6.5,
b196,Afro Samurai,Namco Bandai Games,Surge,PlayStation 3|Xbox 360,Action,27 January 2009,6.6,
b197,After Burner,Sega AM-2,Sega,Arcade|Sega Master System|Sega Mega Drive/Genesis,Flight simulator|Shoot 'em up,November 1987,6.9,
b198,After Burner Climax,Sega-AM2,Sega,PlayStation 3|Xbox 360,Arcade/Shoot 'em up,21 April 2010,7.6,
b199,After Burner II,Sega-AM2,Sega,Nintendo 3DS|Sega Mega Drive/Genesis,Shoot 'em Up,,6.8,
b200,Afterfall: InSanity,Intoxicate Studios,Nicolas Entertainment Group,PC,Third-Person|Shooter|Survival Horror,25 November 2011,5.4,
b201,Afterfall Reconquest: Episode 1,IntoXicate Studios,Nicolas Games,PC,Action|Adventure,19 February 2015,4.8,
b202,Again: Interactive Crime Novel,Cing,Tecmo,Nintendo DS,Adventure,02 April 2010,5.6,
b203,Agatha Christie: And Then There Were None,AWE Productions,The Adventure Company,PC,Adventure,27 October 2005,6.4,
b204,Agatha Christie: Murder on the Orient Express,AWE Productions,The Adventure Company,PC,Adventure,14 November 2006,5.3,
b205,Agatha Christie: The ABC Murders (2016),Microids|Artefacts Studios,Gravity Europe,Linux|PC|PlayStation 4,Point-and-Click|Adventure,04 February 2016,6.9,
b206,Age of Booty,Certain Affinity,Capcom,PC|PlayStation 3|Xbox 360,Real-Time|Strategy,15 October 2008,6.9,
b207,Age of Conan: Unchained,Funcom,Funcom,PC,Massively Multiplayer|Role-Playing,20 May 2008,7.5,
b208,Age of Empires,Ensemble Studios,Microsoft Game Studios,PC,Real-time strategy,15 October 1997,7.6,
b209,Age of Empires III,Ensemble Studios (Original)|Macsoft (Ported Game &amp; Updates)|Robot Entertainment (Updates),Microsoft Game Studios (PC)|Macsoft &amp; Destineer (Mac),Mac|PC,Real-time strategy,18 October 2005,7.9,
b210,Age of Empires III: Complete Collection,Ensemble Studios,Microsoft Studios,PC,Top-Down|Real-Time|Strategy,15 September 2009,7.6,
b211,Age of Empires III: The Asian Dynasties,Ensemble Studios (Original)|Big Huge Games (Original)|Macsoft (Ported Game &amp; Updates)|Robot Entertainment (Updates),Microsoft Game Studios (PC)|Macsoft (Mac),PC,Real-time strategy,23 October 2007,8.3,
b212,Age of Empires III: The WarChiefs,Ensemble Studios (Original)|Macsoft (Ported Game &amp; Updates)|Robot Entertainment (Updates),Microsoft Game Studios (PC)|Macsoft (Mac),PC,Real-time strategy,17 October 2006,8.0,
b213,Age of Empires II: HD Edition,Hidden Path Entertainment,Microsoft Game Studios,PC,Strategy,09 April 2013,8.0,
b214,Age of Empires II: HD Edition - The African Kingdoms DLC,Hidden Path Entertainment,Microsoft Game Studios,PC,Strategy,05 November 2015,8.0,
b215,Age of Empires II: The Age of Kings,Ensemble Studios,Microsoft (Win|Mac)|Konami (PS2),PC,Real-time strategy,30 September 1999,8.7,
b216,Age of Empires II: The Conquerors,Ensemble Studios,Microsoft Game Studios|Konami,PC,Real-time strategy,24 August 2000,8.8,
b217,Age of Empires: Mythologies,Griptonite Games,THQ,Nintendo DS|PC,Turn-based strategy,24 November 2008,7.2,
b218,Age of Empires Online,Robot Entertainment|Gas Powered Games,Microsoft Game Studios,PC,,16 August 2011,6.0,
b219,Age of Empires: The Age of Kings,Backbone Entertainment,Majesco,Nintendo DS|PC,Turn-Based|Strategy,14 February 2006,6.3,
b220,Age of Empires: The Rise of Rome,Ensemble Studios,Microsoft Game Studios,PC,Real-time strategy,31 October 1998,7.9,
b221,Age of Mythology,Ensemble Studios,Microsoft Game Studios|MacSoft,PC,Real-time strategy,30 October 2002,8.1,
b222,Age of Mythology: Extended Edition,Ensemble Studios|SkyBox Labs,Microsoft Studios,PC,Real-Time|Simulation|Strategy,08 May 2014,9.1,
b223,Age of Mythology: The Titans,Ensemble Studios,Microsoft Game Studios,PC,Turn-Based|Strategy,30 September 2003,8.2,
b224,Age of Wonders,Triumph Studios|Epic MegaGames,Gathering of Developers,PC,,31 October 1999,8.0,
b225,Age of Wonders III,Triumph Studios,Triumph Studios,PC,Top-Down|Turn-Based|Strategy,31 March 2014,6.5,
b226,Age of Wonders II: The Wizard's Throne,Triumph Studios,Take 2,PC,Turn-Based|Strategy,12 June 2002,8.1,
